Claim ID,Claimant Name,Claimant Address,Claimant Phone,Claimant Email,Policy Number,Policy Type,Policyholder Name,Policyholder Contact,Date of Loss,Location of Loss,Description of Loss,Claim Amount,Police Report,Medical Records,Photographs or Evidence,Witness Information,Adjuster Notes,Claim Status,Payment Information,Inconsistencies,Previous Claims,Suspicious Behavior,Patterns of Fraud,Investigation Results,Claim Outcome,Investigation Outcome,Additional Comments
5747,Shayak D’Alia,"H.No. 54, Bedi Ganj, Maheshtala-814904",9032800225,dugarneelofar@example.com,56444,Home,Eshani Basak,4264104392,1959-11-11,Belgaum,Illum error perspiciatis. Qui quis temporibus impedit saepe. Omnis saepe modi tempora tempora praesentium illum.,3658.44,,Dolorum illum temporibus possimus aspernatur nulla. Ut fugiat quidem occaecati. Nihil vero aliquid eum assumenda accusantium. Fuga rerum porro neque necessitatibus.,,Badal Wali,"Odio sit expedita fugiat corporis rerum quae. Eaque accusamus aperiam. Nobis nisi dolorum vel excepturi a autem.
Architecto quaerat amet totam aliquam suscipit. Provident vero delectus natus unde.",Approved,,Yes,3 or more,Yes,No,,Approved,No Fraud Detected,Itaque repellat necessitatibus itaque asperiores. Aliquam optio ut expedita. Vel in veniam nobis culpa expedita minima culpa.
6718,Purab Wagle,"50/53, Wali Street, Narasaraopet 523711",7591284898,zoya90@example.net,23902,Health,Tarini Kade,+917296756890,1990-07-17,Moradabad,"Occaecati veniam dolorum placeat. Perferendis reprehenderit quia in velit cupiditate.
Blanditiis et occaecati accusantium. Velit earum vero harum quas quae architecto.",17479.39,,"Neque nobis sapiente ratione quidem reiciendis voluptatibus. Corporis blanditiis ad nam. Maxime tempora repellendus ex voluptates nam.
Quibusdam nostrum laboriosam similique natus repellat culpa.",,Ranbir Kata,Distinctio laboriosam dicta neque suscipit ex animi atque. Quos at eos nostrum. Nam ipsam animi accusamus facere fugit. Ea voluptates distinctio illum.,Denied,,,None,Yes,Yes,,Denied,,"Similique pariatur sint quas. Ab ab suscipit maxime. Rem saepe odio quidem.
Libero laborum corrupti a blanditiis adipisci perferendis. Soluta pariatur amet non veritatis rem veritatis officia."
2234,Prisha Malhotra,"13/24, Tata Ganj, Deoghar 058864",2558949077,samarsrinivasan@example.org,40481,Home,Arnav Ramesh,6670728569,1996-11-01,Gopalpur,Possimus deleniti enim natus. Veritatis quasi reprehenderit voluptatibus quos laudantium suscipit. Recusandae porro reiciendis incidunt asperiores inventore optio.,49378.78,,,https://www.warrior-luthra.com/,Taran Walia,Beatae nemo architecto quod accusamus ducimus. Ullam maiores nobis nesciunt nam laudantium exercitationem. Fugiat laborum reprehenderit architecto ipsa tempora.,Under Investigation,29588.35,Yes,1,Yes,,,Approved,Fraud Detected,"Praesentium et magnam expedita nihil consequatur excepturi. Minima modi fugiat iste.
Ea culpa quaerat culpa enim ea. Aliquam aliquid dolorum consectetur ullam unde sed."
7146,Advika Khare,"H.No. 955, Gandhi Chowk, Ahmednagar-984626",8350079540,mannat54@example.org,48057,Auto,Prerak Ramesh,7111889065,1967-10-12,Darbhanga,"Labore aperiam enim amet quo consectetur. Eius nesciunt culpa aperiam et.
Incidunt eaque unde nesciunt natus id. Illo aspernatur ad quaerat. Libero rem iure sed reiciendis quam voluptatibus.",7635.64,,,http://de.org/,Navya Lad,Dignissimos dolorem quos quia repellat suscipit. Tempore harum reprehenderit aliquid repellat sint at vero.,Denied,17128.7,,3 or more,,No,,Approved,Fraud Detected,"Iure laboriosam autem iusto temporibus.
Quis ad soluta nisi. Earum totam voluptatibus accusantium non.
Repellendus consectetur ex dolorum quos sint laboriosam. Necessitatibus vel cum magnam."
5805,Ehsaan Shukla,"18/03, Bansal Street, Solapur 370546",8157882619,manjarisaini@example.com,11037,Health,Samarth Thakur,6702734328,1975-08-11,Rajahmundry,Aut cupiditate rerum laborum aut temporibus temporibus. Nihil harum culpa ad illo optio cumque.,36047.59,,Doloribus necessitatibus architecto ratione quia. Architecto porro perferendis delectus quo. Culpa suscipit quisquam eaque iure at.,,Diya De,Ratione harum qui voluptates soluta qui occaecati. Beatae facilis itaque facere sit aliquid occaecati. Ipsum quibusdam repellendus possimus quam tempore.,Under Investigation,,,1,,Yes,,Denied,Fraud Detected,Iste culpa error quae harum odit excepturi. Non non ratione repudiandae odio voluptas ut.
8309,Dhanuk Bassi,"89, Ramachandran Ganj, Bettiah 889106",9996214962,kmahal@example.org,21450,Health,Saanvi Tiwari,501693379,1989-06-03,Pune,Voluptatem consectetur necessitatibus suscipit aliquam. Sequi aspernatur tempore ullam ullam.,14743.24,,,,Seher Batra,Possimus iusto voluptatibus sint nobis tempore asperiores. Eveniet ad ipsum eius.,Denied,11882.67,No,2,Yes,Yes,"Laborum odit explicabo illo error nemo nisi. Iste magni corporis. Culpa voluptatem animi minima.
Perspiciatis facilis voluptates a nulla excepturi. Nisi omnis repudiandae.",Approved,Fraud Detected,Consequatur quo quam dicta magni. Autem consectetur ut unde nisi eligendi sint sunt. Iure in eos consequuntur tempore ea.
5923,Shayak Das,"30, Madan Nagar, Kolkata 076367",4502418922,ritviksaran@example.net,58754,Auto,Anya Sachdeva,150548312,1984-01-14,Bilaspur,Provident soluta assumenda commodi nihil ex. Suscipit ad animi aliquam quia. Eius unde laborum voluptas doloribus quo eveniet fugiat.,1770.1,3109,Nostrum maxime debitis aliquid. Animi distinctio vel nesciunt nulla reprehenderit.,http://www.sha.net/,Miraya Chaudhary,"Ut commodi sequi voluptas. Nam sint iste asperiores.
Alias sequi excepturi delectus. Inventore mollitia minus quidem.
Recusandae hic alias ex. Vitae blanditiis reiciendis veniam vitae voluptatem.",Denied,26236.8,,2,Yes,No,,Approved,,Non distinctio omnis alias ullam corporis. Error beatae error eveniet at provident blanditiis consectetur. Sapiente velit consequatur perspiciatis.
3032,Jiya Soman,"725, Kala Circle, Nagercoil-017849",+911629216198,zoya48@example.com,77887,Home,Rasha Arya,7870853666,1997-09-21,Malda,"Quae laborum voluptatibus iste temporibus repellat. Non assumenda corrupti. Optio nam optio laboriosam.
Quia laudantium aperiam. Minima in architecto. Occaecati officia cum nobis nobis.",15147.61,,"Neque quo aspernatur laboriosam vero magnam.
Quaerat repellendus delectus eligendi eos. Tenetur cumque dignissimos commodi deserunt explicabo consequatur nulla.",http://johal-doshi.com/,Anvi Madan,"Id fugiat exercitationem sapiente optio molestiae.
Labore cupiditate ipsam et doloremque. Deleniti et qui. Ut vel quidem numquam.",Denied,26505.46,No,1,No,,,Denied,Fraud Detected,"Amet minima eveniet beatae. Quibusdam a sit iusto autem facere voluptate.
Sed veniam accusantium exercitationem. Praesentium dignissimos cupiditate eveniet blanditiis. Possimus nemo ad quam ipsam."
2040,Aniruddh Boase,"506, Mandal Chowk, Tirunelveli-718005",2710877850,umang30@example.com,81455,Auto,Heer Bansal,8272998231,1965-08-04,Ajmer,Reiciendis illo hic distinctio atque nulla. Velit at id itaque optio.,41232.01,,Dolore suscipit esse consequuntur nam. Dolore illum quidem neque in distinctio magni.,http://sura.biz/,Baiju Kale,Incidunt mollitia blanditiis ab tempora. Esse natus labore libero vitae molestiae deserunt. Similique laborum architecto corporis sunt dolor.,Under Investigation,6798.78,,2,No,No,,Approved,No Fraud Detected,"Nihil dolorem praesentium expedita dolor nostrum sapiente suscipit. Nam atque sint enim.
Esse mollitia at mollitia. Odit reiciendis distinctio molestias modi. Delectus numquam cum praesentium."
4669,Kismat Sibal,"241, Shankar Chowk, Patiala 637296",8965086497,fmallick@example.com,88125,Home,Fateh Lal,9688931763,1976-02-13,Navi Mumbai,"Voluptatibus voluptatem vel voluptate hic. Tenetur provident ducimus cum.
Temporibus maxime et labore aliquid expedita. Placeat tenetur expedita optio.",38210.77,,,,Saksham Chadha,Iste odit vero consequuntur inventore laudantium. Cumque voluptatem nesciunt accusantium autem. Numquam unde ad natus et mollitia quos rerum.,Approved,36719.6,Yes,2,Yes,,"Illo est nulla nemo pariatur. Rem possimus quaerat ex sed voluptas autem. Sit quibusdam a aspernatur quae.
Dolores deleniti qui commodi unde. Ut similique quisquam consequatur sit aspernatur ipsam.",Denied,No Fraud Detected,"Exercitationem voluptatum repudiandae aliquid ea sunt. Deserunt beatae facilis porro architecto. Molestias ipsum id ipsa accusantium.
Aspernatur numquam error reiciendis. Ipsum iste minima veritatis."
